Ten (10) Years of Average Daily Stock Volume,,,,,
,,,,,
All Data,,,,,
,LC,LC,SC,SC,
Month,ADV,Volatility,ADV,Volatility,SPX
Jan-2005,"4,145,429",0.2306,"414,942",0.3705,1181.27
Feb-2005,"3,934,471",0.2419,"400,271",0.3787,1203.6
Mar-2005,"3,905,479",0.2326,"405,187",0.3552,1180.59
Apr-2005,"4,121,933",0.2808,"401,821",0.4279,1156.85
May-2005,"3,621,475",0.231,"391,428",0.4028,1191.5
Jun-2005,"3,413,944",0.1986,"399,808",0.3539,1191.33
Jul-2005,"3,561,657",0.2269,"382,196",0.3731,1234.18
Aug-2005,"3,266,285",0.2062,"374,321",0.3553,1220.33
Sep-2005,"3,874,930",0.2337,"399,728",0.3521,1228.81
Oct-2005,"4,351,479",0.3023,"424,493",0.4258,1207.01
Nov-2005,"3,929,000",0.2402,"414,693",0.3814,1249.48
Dec-2005,"3,608,421",0.2044,"407,982",0.3321,1248.29
Jan-2006,"4,573,083",0.2518,"454,713",0.356,1280.08
Feb-2006,"4,078,253",0.2359,"435,596",0.3608,1280.66
Mar-2006,"4,001,277",0.2031,"444,629",0.3313,1294.87
Apr-2006,"4,215,267",0.2397,"450,302",0.3571,1310.61
May-2006,"4,393,611",0.2494,"482,387",0.4011,1270.09
Jun-2006,"4,295,478",0.267,"497,533",0.4428,1270.2
Jul-2006,"4,232,139",0.2935,"438,726",0.4771,1276.66
Aug-2006,"3,824,133",0.2267,"415,073",0.3759,1303.82
Sep-2006,"4,303,286",0.2211,"432,411",0.3466,1335.85
Oct-2006,"4,453,965",0.2381,"455,671",0.3576,1377.94
Nov-2006,"4,446,941",0.2188,"446,831",0.3501,1400.63
Dec-2006,"4,076,911",0.18,"413,857",0.3023,1418.3
Jan-2007,"4,912,171",0.2103,"439,049",0.3257,1438.24
Feb-2007,"4,573,329",0.2304,"478,730",0.3472,1406.82
Mar-2007,"4,959,523",0.2176,"495,705",0.3644,1420.86
Apr-2007,"4,807,581",0.2096,"484,313",0.3278,1482.37
May-2007,"4,786,477",0.2056,"517,678",0.3475,1530.62
Jun-2007,"5,027,231",0.2196,"525,043",0.3249,1503.35
Jul-2007,"5,528,902",0.2822,"530,889",0.3899,1455.27
Aug-2007,"6,173,326",0.3806,"624,750",0.6055,1473.99
Sep-2007,"4,869,743",0.2702,"448,381",0.4115,1526.75
Oct-2007,"5,106,611",0.2914,"479,402",0.4373,1549.38
Nov-2007,"6,273,449",0.3973,"536,571",0.5868,1481.14
Dec-2007,"4,984,349",0.3151,"461,084",0.5375,1468.36
Jan-2008,"7,730,065",0.4647,"588,658",0.6106,1378.55
Feb-2008,"6,195,437",0.3838,"524,176",0.5513,1330.63
Mar-2008,"7,052,992",0.4707,"567,584",0.636,1322.7
Apr-2008,"5,901,965",0.365,"492,230",0.5067,1385.59
May-2008,"5,798,753",0.3074,"516,688",0.4797,1400.38
Jun-2008,"6,961,005",0.3561,"592,961",0.505,1280
Jul-2008,"8,670,988",0.5432,"598,846",0.6896,1267.38
Aug-2008,"6,350,366",0.4102,"522,649",0.5756,1282.83
Sep-2008,"10,197,875",0.801,"619,164",0.8551,1166.36
Oct-2008,"10,928,363",1.1445,"598,690",1.3158,968.75
Nov-2008,"9,025,581",1.0484,"528,610",1.3529,896.24
Dec-2008,"7,255,272",0.7871,"466,144",1.1712,903.25
Jan-2009,"8,011,364",0.6701,"432,117",0.9142,825.88
Feb-2009,"9,613,386",0.6628,"444,775",0.8535,735.09
Mar-2009,"10,488,909",0.7779,"503,211",1.1392,797.87
Apr-2009,"9,704,429",0.6037,"512,247",0.8444,872.81
May-2009,"9,443,952",0.5471,"556,444",0.8068,919.14
Jun-2009,"7,926,888",0.397,"597,552",0.6574,919.32
Jul-2009,"7,792,267",0.4071,"482,756",0.5756,987.48
Aug-2009,"7,084,361",0.3329,"541,487",0.5398,1020.62
Sep-2009,"7,275,343",0.3178,"572,069",0.4786,1057.08
Oct-2009,"7,547,679",0.3687,"558,440",0.5179,1036.19
Nov-2009,"6,339,466",0.3318,"499,112",0.5414,1095.63
Dec-2009,"5,847,458",0.2347,"440,069",0.4185,1115.1
Jan-2010,"7,420,830",0.2811,"489,810",0.4215,1073.87
Feb-2010,"7,067,041",0.3002,"466,627",0.407,1104.49
Mar-2010,"6,490,488",0.1995,"515,010",0.3473,1169.43
Apr-2010,"7,319,756",0.279,"613,505",0.4125,1186.69
May-2010,"9,082,666",0.422,"630,708",0.5832,1089.41
Jun-2010,"7,203,244",0.3618,"558,687",0.4774,1030.71
Jul-2010,"6,833,185",0.327,"463,533",0.502,1101.6
Aug-2010,"5,994,417",0.2813,"436,791",0.4488,1049.33
Sep-2010,"5,802,616",0.2583,"454,876",0.3949,1141.2
Oct-2010,"6,406,603",0.243,"475,729",0.3746,1183.26
Nov-2010,"6,048,394",0.2431,"470,982",0.3842,1180.55
Dec-2010,"5,189,179",0.195,"434,570",0.2942,1257.64
Jan-2011,"6,476,982",0.241,"502,624",0.3766,1286.12
Feb-2011,"6,021,900",0.269,"520,688",0.3939,1327.22
Mar-2011,"5,905,884",0.2475,"534,760",0.3741,1325.83
Apr-2011,"5,436,885",0.2209,"486,643",0.3363,1363.61
May-2011,"5,497,878",0.2181,"522,923",0.3811,1345.2
Jun-2011,"5,766,850",0.2493,"555,530",0.3835,1320.64
Jul-2011,"5,651,951",0.2707,"482,607",0.3789,1292.28
Aug-2011,"8,831,372",0.5966,"655,004",0.8305,1218.89
Sep-2011,"7,109,895",0.4027,"529,260",0.5628,1131.42
Oct-2011,"7,257,896",0.4576,"545,252",0.6944,1253.3
Nov-2011,"6,121,717",0.4148,"503,191",0.6261,1246.96
Dec-2011,"5,339,373",0.3337,"452,086",0.5172,1257.6
Jan-2012,"6,103,984",0.2452,"478,555",0.3639,1312.41
Feb-2012,"5,751,907",0.2231,"534,717",0.4057,1365.68
Mar-2012,"5,560,131",0.2146,"501,459",0.3743,1408.47
Apr-2012,"5,480,290",0.2508,"473,940",0.3918,1397.91
May-2012,"5,763,781",0.2544,"508,097",0.4127,1310.33
Jun-2012,"5,666,123",0.3023,"544,722",0.4346,1362.16
Jul-2012,"5,163,324",0.2987,"469,582",0.4077,1379.32
Aug-2012,"4,395,483",0.1720,"402,341",0.2596,1406.58
Sep-2012,"5,344,209",0.2169,"486,602",0.2885,1440.67
Oct-2012,"5,213,923",0.1991,"437,865",0.2371,1412.16
Nov-2012,"5,078,885",0.2859,"445,005",0.3801,1416.18
Dec-2012,"4,874,791",0.2113,"440,816",0.2598,1426.19
Jan-2013,"5,541,096",0.2349,"459,169",0.3811,1498.11093
Feb-2013,"5,364,641",0.2170,"470,832",0.3504,1514.67827
Mar-2013,"4,868,824",0.2185,"481,469",0.3457,1569.18587
Apr-2013,"5,021,384",0.2200,"449,142",0.3500,1597.56567
May-2013,"4,832,687",0.2310,"480,666",0.3807,1630.74189
Jun-2013,"5,188,910",0.2385,"517,655",0.3798,1606.27761
Jul-2013,"4,353,630",0.2404,"416,008",0.3817,1685.72502
Aug-2013,"3,943,886",0.2294,"417,123",0.3565,1632.97115
Sep-2013,"4,413,243",0.2168,"484,951",0.3538,1681.54666
Oct-2013,"4,572,171",0.2083,"509,581",0.3474,1756.54463
Nov-2013,"4,231,229",0.2120,"500,253",0.3635,1805.81269
Dec-2013,"4,132,350",0.2101,"494,996",0.3678,1848.35652
Jan-2014,"4,970,588",0.2056,"594,407",0.3684,1782.58697
Feb-2014,"4,971,952",0.2198,"575,480",0.3650,1859.44937
Mar-2014,"4,481,910",0.2214,"658,935",0.3729,1872.33518
Apr-2014,"4,726,705",0.2283,"549,783",0.3835,1883.95013
May-2014,"3,813,411",0.2130,"541,937",0.3875,1923.57266
Jun-2014,"3,698,389",0.2052,"563,948",0.3787,1960.23124
Jul-2014,"3,889,724",0.1897,"487,896",0.3590,1930.67387
Aug-2014,"3,328,178",0.1862,"449,763",0.3448,2003.3677
Sep-2014,"3,854,627",0.1817,"516,212",0.3318,1972.28515
Oct-2014,"4,988,077",0.2084,"592,826",0.3621,2018.0545
Nov-2014,"3,881,341",0.2250,"505,978",0.3889,2067.56204
Dec-2014,"4,657,497",0.2424,"597,462",0.4161,2063.83
